A1;PEDRO DE VEGA Y GRAL. PAZ;-31.614122;-60.681216
A2;PEDRO DE VEGA Y DORREGO;-31.61446;-60.679736
A3;PEDRO DE VEGA Y VELEZ SARSFIELD;-31.614705;-60.678542
A4;PEDRO DE VEGA Y TACUARI;-31.614929;-60.677496
A5;PEDRO DE VEGA Y PIEDRAS;-31.615139;-60.676407
A6;PEDRO DE VEGA Y ANTONIA GODOY;-31.615383;-60.675345
A7;PEDRO DE VEGA Y PATRICIO CULLEN;-31.615602;-60.67432
A8;PEDRO DE VEGA Y ECHAGUE;-31.615826;-60.673291
A9;PEDRO DE VEGA Y ALTE. BROWN;-31.61592;-60.672936
B1;RICARDO ALDAO Y GRAL. PAZ;-31.613311;-60.680586
B2;RICARDO ALDAO Y DORREGO;-31.613548;-60.679449
B3;RICARDO ALDAO Y VELEZ SARSFIELD;-31.61377;-60.678306
B4;RICARDO ALDAO Y TACUARI;-31.614014;-60.677225
B5;RICARDO ALDAO Y PIEDRAS;-31.614238;-60.676144
B6;RICARDO ALDAO Y ANTONIA GODOY;-31.614485;-60.675111
B7;RICARDO ALDAO Y PATRICIO CULLEN;-31.614711;-60.674052
B8;RICARDO ALDAO Y ECHAGUE;-31.614926;-60.672974
B9;RICARDO ALDAO Y ALTE. BROWN;-31.615163;-60.671984
C1;ANGEL CASSANELLO Y GRAL. PAZ;31.612472;-60.679905
C2;ANGEL CASSANELLO Y DORREGO;-31.612625;-60.679191
C3;ANGEL CASSANELLO Y VELEZ SARSFIELD;-31.612877;-60.678046
C4;ANGEL CASSANELLO Y TACUARI;-31.613112;-60.676978
C5;ANGEL CASSANELLO Y PIEDRAS;-31.613336;-60.675903
C6;ANGEL CASSANELLO Y ANTONIA GODOY;-31.613566;-60.674835
C7;ANGEL CASSANELLO Y PATRICIO CULLEN;-31.613797;-60.673778
C8;ANGEL CASSANELLO Y ECHAGUE;-31.61403;-60.672716
C9;ANGEL CASANELLO Y TALCAHUANO;-31.614256;-60.671657
C10;ANGEL CASSANELLO Y ALTE. BROWN;-31.614437;-60.671029
D3;J. P. LOPEZ Y GRAL PAZ;-31.611655;-60.679263
D4;J. P. LOPEZ Y VELEZ SARSFIELD;-31.611949;-60.677773
D5;J. P. LOPEZ Y TACUARI;-31.612201;-60.676719
D6;J. P. LOPEZ Y PIEDRAS;-31.612431;-60.675646
D7;J. P. LOPEZ Y ANTONIA GODOY;-31.612655;-60.6746
D8;J. P. LOPEZ Y PATRICIO CULLEN;-31.612893;-60.67353
D9;J. P. LOPEZ Y ECHAGUE;-31.613121;-60.672449
D10;J. P. LOPEZ Y TALCAHUANO;-31.613336;-60.671408
D11;J. P. LOPEZ Y ALTE. BROWN;-31.613626;-60.67008
E4;PASAJE PUJATO Y TACUARI;-31.611736;-60.676598
E5;PASAJE PUJATO Y PIEDRAS;-31.611946;-60.675539
E6;PASAJE PUJATO Y ANTONIA GODOY;-31.612184;-60.674463
E7;PASAJE PUJATO Y PATRICIO CULLEN;-31.612408;-60.673390
E8;PASAJE PUJATO Y ECHAGUE;-31.612627;-60.672314
F2;HERNANDARIAS Y GRAL. PAZ;-31.610851;-60.678575
F3;HERNANDARIAS Y VELEZ SARSFIELD;-31.611067;-60.67753
F4;HERNANDARIAS Y TACUARI;-31.611302;-60.67648
F5;HERNANDARIAS Y PIEDRAS;-31.611522;-60.675407
F6;HERNANDARIAS Y ANTONIA GODOY;-31.611756;-60.674359
F7;HERNANDARIAS Y PATRICIO CULLEN;-31.611974;-60.673276
F8;HERNANDARIAS Y ECHAGUE;-31.612203;-60.672213
F9;HERNANDARIAS Y TALCAHUANO;-31.612419;-60.671145
F10;HERNANDARIAS Y DEFENSA;-31.612618;-60.67009
F11;HERNANDARIAS Y ALTE. BROWN;-31.612842;-60.669124
FG;RIOBAMBA Y ALTE. BROWN;-31.612604;-60.668912
G2;JUAN CASTELLI Y GRAL. PAZ;-31.609978;-60.678085
G3;JUAN CASTELLI Y VELEZ SARSFIELD;-31.610158;-60.677274
G4;JUAN CASTELLI Y TACUARI;-31.610397;-60.676216
G5;JUAN CASTELLI Y PIEDRAS;-31.610609;-60.67516
G6;JUAN CASTELLI Y ANTONIA GODOY;-31.610829;-60.674088
G7;JUAN CASTELLI Y PATRICIO CULLEN;-31.61107;-60.67301
G8;JUAN CASTELLI Y ECHAGUE;-31.611285;-60.67197
G9;JUAN CASTELLI Y TALCAHUANO;-31.611505;-60.670894
G10;JUAN CASTELLI Y DEFENSA;-31.611731;-60.669835
G11;JUAN CASTELLI Y RIOBAMBA;-31.611953;-60.668775
G12;JUAN CASTELLI Y ALTE. BROWN;-31.612063;-60.668340
H2;ESTANISLAO ZEBALLOS Y GRAL. PAZ;-31.609115;-60.677602
H3;ESTANISLAO ZEBALLOS Y VELEZ SARSFIELD;-31.609248;-60.677002
H4;ESTANISLAO ZEBALLOS Y TACUARI;-31.609457;-60.67597
H5;ESTANISLAO ZEBALLOS Y PIEDRAS;-31.60968;-60.67492
H6;ESTANISLAO ZEBALLOS Y ANTONIA GODOY;-31.609916;-60.673833
H7;ESTANISLAO ZEBALLOS Y PATRICIO CULLEN;-31.610139;-60.672764
H8;ESTANISLAO ZEBALLOS Y ECHAGUE;-31.610378;-60.671715
H9;ESTANISLAO ZEBALLOS Y TALCAHUANO;-31.610598;-60.670646
H10;ESTANISLAO ZEBALLOS Y DEFENSA;-31.610823;-60.669587
H11;ESTANISLAO ZEBALLOS Y RIOBAMBA;-31.611016;-60.668538
H12;ESTANISLAO ZEBALLOS Y AV. ALMTE BROWN;-31.61122;-60.66768
I3;OBISPO BONEO Y GRAL. PAZ;-31.608225;-60.677125
I4;OBISPO BONEO Y TACUARI;-31.608525;-60.67571
I5;OBISPO BONEO Y PIEDRAS;-31.608745;-60.674648
I6;OBISPO BONEO Y ANTONIA GODOY;-31.609007;-60.673582
I7;OBISPO BONEO Y PATRICIO CULLEN;-31.60922;-60.672527
I8;OBISPO BONEO Y ECHAGUE;-31.609456;-60.67145
I9;OBISPO BONEO Y TALCAHUANO;-31.609679;-60.670399
I10;OBISPO BONEO Y DEFENSA;-31.609895;-60.66933
I11;OBISPO BONEO Y RIOBAMBA;-31.610086;-60.668279
I12;OBISPO BONEO Y AV. ALMTE BROWN;-31.610331;-60.667255
J3;ESPORA Y GRAL. PAZ;-31.607343;-60.676658
J4;ESPORA Y TACUARI;-31.607576;-60.675452
J5;ESPORA Y PIEDRAS;-31.607779;-60.674382
J6;ESPORA Y ANTONIA GODOY;-31.607986;-60.67332
J7;ESPORA Y PATRICIO CULLEN;-31.608202;-60.672254
J8;ESPORA Y ECHAGUE;-31.608425;-60.671177
J9;ESPORA Y TALCAHUANO;-31.608616;-60.670115
J10;ESPORA Y DEFENSA;-31.608832;-60.669045
J11;ESPORA Y RIOBAMBA;-31.609;-60.667994
J12;ESPORA Y AV. ALMTE BROWN;-31.609197;-60.66694
K3;OBISPO PRINCIPE Y GRAL. PAZ;-31.60651;-60.676218
K4;OBISPO PRINCIPE Y TACUARI;-31.606723;-60.675221
K5;OBISPO PRINCIPE Y PIEDRAS;-31.606926;-60.674143
K6;OBISPO PRINCIPE Y ANTONIA GODOY;-31.607136;-60.673096
K6.5;OBISPO PRINCIPE Y JUAN MACIEL;-31.607226;-60.672539
K7;OBISPO PRINCIPE Y PATRICIO CULLEN;-31.607346;-60.672023
K8;OBISPO PRINCIPE Y ECHAGUE;-31.607559;-60.670961
K9;OBISPO PRINCIPE Y TALCAHUANO;-31.607776;-60.669895
K10;OBISPO PRINCIPE Y DEFENSA;-31.607999;-60.668833
K11;OBISPO PRINCIPE Y RIOBAMBA;-31.608196;-60.667755
K12;OBISPO PRINCIPE Y AV. ALMTE BROWN;-31.608364;-60.666709
L3;ALBERTI Y GRAL.PAZ;-31.605773;-60.675835
L4;ALBERTI Y TACUARÍ;-31.605902;-60.674985
L5;ALBERTI Y PIEDRAS;-31.606093;-60.67395
L6.5;ALBERTI Y JUAN MACIEL;-31.60639;-60.672322
L7;ALBERTI Y PATRICIO CULLEN;-31.606229;-60.671731
L8;ALBERTI Y ECHAGUE;-31.606426;-60.670688
L9;ALBERTI Y TALCAHUANO;-31.606955;-60.669671
L10;ALBERTI Y DEFENSA;-31.607162;-60.668594
L11;ALBERTI Y RIOBAMBA;-31.607382;-60.667532
L12;ALBERTI Y ALTE. BROWN;-31.607559;-60.666485
M7;ALBERTI* Y PATRICIO CULLEN;
M8;ALBERTI* Y ECHAGUE;
N3;OBISPO PRINCIPE Y GRAL. PAZ;-31.60651;-60.676218
N4;OBISPO PRINCIPE Y TACUARI;-31.606723;-60.675221
N5;OBISPO PRINCIPE Y PIEDRAS;-31.606926;-60.674143
N6;OBISPO PRINCIPE Y ANTONIA GODOY;-31.607136;-60.673096
N7;OBISPO PRINCIPE Y PATRICIO CULLEN;-31.607346;-60.672023
N8;OBISPO PRINCIPE Y ECHAGUE;-31.607559;-60.670961
N9;OBISPO PRINCIPE Y TALCAHUANO;-31.607776;-60.669895
N10;OBISPO PRINCIPE Y DEFENSA;-31.607999;-60.668833
N11;OBISPO PRINCIPE Y RIOBAMBA;-31.608196;-60.667755
N12;OBISPO PRINCIPE Y ALTE. BROWN;-31.608364;-60.666709
O6;PASAJE DE ANDREA Y ANTONIA GODOY;-31.605011;-60.672504
O7;PASAJE DE ANDREA Y PATRICIO CULLEN;-31.605226;-60.671447
P3;PADRE GENESIO Y GRAL. PAZ;-31.604072;-60.675091
P4;PADRE GENESIO Y TACUARI;-31.604166;-60.674539
P5;PADRE GENESIO Y PIEDRAS;-31.604362;-60.673465
P6;PADRE GENESIO Y ANTONIA GODOY;-31.604583;-60.672405
P7;PADRE GENESIO Y PATRICIO CULLEN;-31.604792;-60.671309
P8;PADRE GENESIO Y ECHAGUE;-31.605017;-60.67026
P9;PADRE GENESIO Y TALCAHUANO;-31.605217;-60.669193
P10;PADRE GENESIO Y DEFENSA;-31.605431;-60.668127
P11;PADRE GENESIO Y RIOBAMBA;-31.605647;-60.667061
P12;PADRE GENESIO Y ALTE. BROWN;-31.605867;-60.665995
Q3;JAVIER DE LA ROSA Y GRAL. PAZ;-31.603122;-60.67477
Q4;JAVIER DE LA ROSA Y TACUARI;-31.603249;-60.674269
Q5;JAVIER DE LA ROSA Y PIEDRAS;-31.603448;-60.673244
Q6;JAVIER DE LA ROSA Y ANTONIA GODOY;-31.603647;-60.672198
Q7;JAVIER DE LA ROSA Y PATRICIO CULLEN;-31.603862;-60.671125
Q8;JAVIER DE LA ROSA Y ECHAGUE;-31.604085;-60.670059
Q9;JAVIER DE LA ROSA Y TALCAHUANO;-31.604306;-60.668943
Q10;JAVIER DE LA ROSA Y DEFENSA;-31.604519;-60.667881
Q11;JAVIER DE LA ROSA Y RIOBAMBA;-31.604725;-60.666814
Q12;JAVIER DE LA ROSA Y AV. ALMTE BROWN;-31.604959;-60.66579
R3;RTO.12 DE INFANTERIA Y GRAL.PAZ;-31.602228;-60.674573
R4;RTO.12 DE INFANTERIA Y TACUARI;-31.602332;-60.674023
R5;RTO. 12 DE INFANTERIA Y PIEDRAS;-31.602533;-60.673012
R6;RTO. 12 DE INFANTERIA Y ANTONIA GODOY;-31.602741;-60.671942
R7;RTO 12 DE INFANTERIA Y PATRICIO CULLEN;-31.602953;-60.67088
R8;RTO 12 DE INFANTERIA Y ECHAGUE;-31.603161;-60.669799
R9;RTO. 12 DE INFANTERIA Y TALCAHUANO;-31.603371;-60.668696
R10;RTO. 12 DE INFANTERIA Y DEFENSA;-31.603598;-60.667623
R11;RTO. 12 DE INFANTERIA Y RIOBAMBA;-31.603808;-60.666551
R12;RTO 12 DE INFANTERIA E ITALIA;-31.604009;-60.665574
